Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,12.7,0.9,36,0:00,31/12/2014
0,12.7,0.7,34.6,1:00,01/01/2015
0,12.7,0.7,31.4,2:00,01/01/2015
0,12.5,0.6,26.4,3:00,01/01/2015
0,12.2,0.7,29,4:00,01/01/2015
0,11.5,1,32.5,5:00,01/01/2015
0,11,1.5,38,6:00,01/01/2015
0,11.2,1.5,28.5,7:00,01/01/2015
0,11.9,1.5,25,8:00,01/01/2015
0,13.1,1.9,26.9,9:00,01/01/2015
0,15.3,1.9,29,10:00,01/01/2015
0,18.2,2.5,62.4,11:00,01/01/2015
0,19,3.4,91.8,12:00,01/01/2015
0,19.1,4.6,21.7,13:00,01/01/2015
0,18.4,4.3,28.8,14:00,01/01/2015
0,17.6,5,139,15:00,01/01/2015
0,16.8,4.4,190.6,16:00,01/01/2015
0,15.9,3.8,190,17:00,01/01/2015
0,15.1,3.4,158.4,18:00,01/01/2015
0,14.3,2.4,130.3,19:00,01/01/2015
0,11.9,1.4,146,20:00,01/01/2015
0,10.9,1.2,140.2,21:00,01/01/2015
0,10.3,1.3,127.5,22:00,01/01/2015
0,9.9,1.4,137.5,23:00,01/01/2015
0,9.7,1.6,154.9,0:00,01/01/2015
0,9.4,1.6,166.4,1:00,02/01/2015
0,8.7,2,174.7,2:00,02/01/2015
0,8.2,1.8,152.6,3:00,02/01/2015
0,7.9,2,155.8,4:00,02/01/2015
0,7.5,1.8,155.1,5:00,02/01/2015
0,7.6,2.1,146,6:00,02/01/2015
0,7.2,1.9,145,7:00,02/01/2015
0,8.2,2.2,123.6,8:00,02/01/2015
0,11.1,2.4,107.7,9:00,02/01/2015
0,13.5,3.1,107.6,10:00,02/01/2015
0,15.7,3.3,112.3,11:00,02/01/2015
0,16.8,3,107.7,12:00,02/01/2015
0,16.1,3.8,115.6,13:00,02/01/2015
0,16.3,3.9,95.3,14:00,02/01/2015
0,16.3,3.6,99.1,15:00,02/01/2015
0,15.8,3.1,87.6,16:00,02/01/2015
0,14.8,1.3,81.7,17:00,02/01/2015
0,13,1.5,86.2,18:00,02/01/2015
0,13.1,1.3,69,19:00,02/01/2015
0,12.8,1.4,52,20:00,02/01/2015
0,12.3,1.4,50.2,21:00,02/01/2015
0,11.4,1.1,62.1,22:00,02/01/2015
0,11.2,1.1,60.2,23:00,02/01/2015
0,11.1,1.1,61.8,0:00,02/01/2015
0,10.3,1.2,75.1,1:00,03/01/2015
0,9.6,1.3,61.4,2:00,03/01/2015
0,9.5,1.5,57.1,3:00,03/01/2015
0,8.9,1.6,53.9,4:00,03/01/2015
0,8.5,1.7,51.2,5:00,03/01/2015
0,8.7,1.7,49.5,6:00,03/01/2015
0,9.5,1.6,36.8,7:00,03/01/2015
0,10,1.8,38.8,8:00,03/01/2015
0,11.5,1.8,25.6,9:00,03/01/2015
0.4,14.4,2.3,3.4,10:00,03/01/2015
0.4,13.6,1.8,60.1,11:00,03/01/2015
0,14.4,1.8,34.9,12:00,03/01/2015
0.4,15.8,2.7,12.6,13:00,03/01/2015
0.4,13.5,2.9,36.8,14:00,03/01/2015
5,13.8,1.6,12.5,15:00,03/01/2015
3.6,13,1.6,41.2,16:00,03/01/2015
0,14.4,2.3,2.9,17:00,03/01/2015
0,14.7,2.9,0,18:00,03/01/2015
0,13.8,1.7,19.7,19:00,03/01/2015
0,11.7,1.4,44.9,20:00,03/01/2015
0,12.6,2.7,16.7,21:00,03/01/2015
0,11.4,1.3,15,22:00,03/01/2015
0,10.8,2,9,23:00,03/01/2015
1.1,10.5,2,30.6,0:00,03/01/2015
0,10.6,3.2,9.4,1:00,04/01/2015
0,11.2,2.7,10.9,2:00,04/01/2015
0,10,2.4,12.5,3:00,04/01/2015
0,9.8,3,10.1,4:00,04/01/2015
2.9,9.2,2.4,13.1,5:00,04/01/2015
0,8.1,2.4,19.1,6:00,04/01/2015
0,7.2,2.4,31.7,7:00,04/01/2015
0.4,7.7,2.4,24.5,8:00,04/01/2015
1.1,7.9,2.4,19.9,9:00,04/01/2015
0,10.4,2.6,2.9,10:00,04/01/2015
0,11.6,3.8,15.7,11:00,04/01/2015
0,13.4,5,31.2,12:00,04/01/2015
0,14.1,4.6,33.3,13:00,04/01/2015
0,15.2,4.8,3.8,14:00,04/01/2015
0,15,4.8,16.2,15:00,04/01/2015
0,14.9,3.7,22.9,16:00,04/01/2015
0,15,4,13.2,17:00,04/01/2015
1.6,14,3.7,15.1,18:00,04/01/2015
3.4,12.2,2,49.3,19:00,04/01/2015
0,12.1,1.6,27.5,20:00,04/01/2015
0.8,12.1,1.9,26.8,21:00,04/01/2015
0,12.2,2.3,26.2,22:00,04/01/2015
0,11.9,2.2,24.9,23:00,04/01/2015
0,11.7,1.9,7.6,0:00,04/01/2015
0,11.9,2.1,5,1:00,05/01/2015
0,11.2,2.3,19.5,2:00,05/01/2015
0,10.5,2.7,18.2,3:00,05/01/2015
0,9.9,1.9,23.2,4:00,05/01/2015
0,9.4,1.9,20.3,5:00,05/01/2015
0,8.8,1.7,22.9,6:00,05/01/2015
0,8.3,1.7,21.9,7:00,05/01/2015
0,9.7,2,13.7,8:00,05/01/2015
0,12.4,2.7,1.6,9:00,05/01/2015
0,14.1,3.4,8.3,10:00,05/01/2015
0,16.1,3.5,20.4,11:00,05/01/2015
0,17.2,3.6,15.9,12:00,05/01/2015
0,17.7,3.8,11.3,13:00,05/01/2015
0,17.5,3.6,15.9,14:00,05/01/2015
0,17.8,3.7,29.5,15:00,05/01/2015
0,17.9,2.8,27.8,16:00,05/01/2015
0,15.8,1.6,36.1,17:00,05/01/2015
0,13.1,1.3,31.7,18:00,05/01/2015
0,12.2,1.4,23.2,19:00,05/01/2015
0,11.5,1.5,17.1,20:00,05/01/2015
0,11.2,1.7,20.4,21:00,05/01/2015
0,11.2,1.6,17.8,22:00,05/01/2015
0,10.9,1.6,14.1,23:00,05/01/2015
0,11.3,2.6,11.8,0:00,05/01/2015
0,11.9,2.9,14.1,1:00,06/01/2015
0,11.7,2.8,11.9,2:00,06/01/2015
0,11.7,2.8,11.2,3:00,06/01/2015
0,11.5,3.3,11.9,4:00,06/01/2015
0,11.4,3.2,9.4,5:00,06/01/2015
0,11.4,3.4,11.4,6:00,06/01/2015
0,11.2,3.1,15.8,7:00,06/01/2015
0,11.7,3.2,14.4,8:00,06/01/2015
0,13.4,3.8,20.7,9:00,06/01/2015
0,14.2,3.7,40.1,10:00,06/01/2015
0,14.6,3.8,77,11:00,06/01/2015
0,15.6,6.4,170.4,12:00,06/01/2015
0,15.8,7.5,213.6,13:00,06/01/2015
0,16.2,8.1,276.2,14:00,06/01/2015
0,16.1,7.4,282.3,15:00,06/01/2015
0,15.5,8.1,456.1,16:00,06/01/2015
0,15,7.4,832.3,17:00,06/01/2015
0,14.5,7.7,732.9,18:00,06/01/2015
0,14.2,8.4,597.1,19:00,06/01/2015
0,13.7,8.2,532,20:00,06/01/2015
0,13.2,8.9,570.4,21:00,06/01/2015
0,12.8,8.8,612.2,22:00,06/01/2015
0,12.3,8.4,698.6,23:00,06/01/2015
0,12.2,8.3,688.4,0:00,06/01/2015
0,11.1,5.9,596.1,1:00,07/01/2015
0,10.6,5.9,590.2,2:00,07/01/2015
0,10.2,5,426.3,3:00,07/01/2015
0,9.4,4.2,308.9,4:00,07/01/2015
0,9,4.8,345.3,5:00,07/01/2015
0,9.2,4.6,333.5,6:00,07/01/2015
0,9,4.2,309.8,7:00,07/01/2015
