Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,13.8,1.1,64.7,00:00,31/12/2014
0,14.1,0.6,58.9,01:00,01/01/2015
0,13.4,1.1,59,02:00,01/01/2015
0,13.1,1.2,54.8,03:00,01/01/2015
0,12.6,1.2,47.5,04:00,01/01/2015
0,11.9,1.4,53.1,05:00,01/01/2015
0,11.6,1.8,55.4,06:00,01/01/2015
0,11.6,2.1,56.5,07:00,01/01/2015
0,12.3,1.7,61.2,08:00,01/01/2015
0,13.4,1.6,72.6,09:00,01/01/2015
0,13.9,4,46.7,10:00,01/01/2015
0,14.1,3.5,71.8,11:00,01/01/2015
0,14,3.8,119.1,12:00,01/01/2015
0,14.3,3.9,98.8,13:00,01/01/2015
0,14,4.7,101.8,14:00,01/01/2015
0,13.9,4.8,184.3,15:00,01/01/2015
0,13.7,5,245.6,16:00,01/01/2015
0,13,3,245.5,17:00,01/01/2015
0,12.1,1.9,229.7,18:00,01/01/2015
0,11.5,1.8,167.3,19:00,01/01/2015
0,11,1.9,131.8,20:00,01/01/2015
0,10.3,1.6,148.9,21:00,01/01/2015
0,9.6,1.5,163.3,22:00,01/01/2015
0,9,1,165.3,23:00,01/01/2015
0,8.7,1.3,194,00:00,01/01/2015
0,7.9,1.4,202.6,01:00,02/01/2015
0,7.5,1.3,193.1,02:00,02/01/2015
0,7,1.5,190.6,03:00,02/01/2015
0,6.4,1.2,185.5,04:00,02/01/2015
0,6.4,1.8,169.5,05:00,02/01/2015
0,6.3,2,177.9,06:00,02/01/2015
0,5.8,2.2,182.8,07:00,02/01/2015
0,6.9,2.2,173,08:00,02/01/2015
0,9.3,1.6,167.6,09:00,02/01/2015
0,11.3,1.4,169.8,10:00,02/01/2015
0,12.7,1.8,145,11:00,02/01/2015
0,13.5,2.1,100.9,12:00,02/01/2015
0,14,1.9,89.2,13:00,02/01/2015
0,14.4,2.1,81.3,14:00,02/01/2015
0,14.3,1.9,79.3,15:00,02/01/2015
0,13.9,2,74.2,16:00,02/01/2015
0,13.4,1.7,72,17:00,02/01/2015
0,12.7,0.9,84.3,18:00,02/01/2015
0,12.3,0.9,76.2,19:00,02/01/2015
0,11.6,0.8,80.9,20:00,02/01/2015
0,9.7,1.8,85.8,21:00,02/01/2015
0,9.7,1.7,91.1,22:00,02/01/2015
0,9.1,1.5,83.6,23:00,02/01/2015
0,7.9,1.4,88.6,00:00,02/01/2015
0,7.5,2.1,90.5,01:00,03/01/2015
0,7.5,2.2,75.2,02:00,03/01/2015
0,7.6,2.3,57.5,03:00,03/01/2015
0,7.3,2.4,47.1,04:00,03/01/2015
0,7.5,2.2,43.7,05:00,03/01/2015
0,7,1.8,38.5,06:00,03/01/2015
0,6.6,2.2,38.9,07:00,03/01/2015
0,7.6,2.1,34.8,08:00,03/01/2015
0,9.6,1.6,33.3,09:00,03/01/2015
0,11.2,1.1,39.2,10:00,03/01/2015
0,12.6,1.4,36.4,11:00,03/01/2015
0,13.9,2.6,31.3,12:00,03/01/2015
0,13.9,3.4,28.5,13:00,03/01/2015
0,14,5.8,24.2,14:00,03/01/2015
0,14.1,5.7,40.5,15:00,03/01/2015
0,13.8,4.6,33.8,16:00,03/01/2015
0,13.3,3.6,30.9,17:00,03/01/2015
0,12.5,2.2,31.9,18:00,03/01/2015
0,11.7,1.3,28.8,19:00,03/01/2015
0,11,2.7,31.3,20:00,03/01/2015
0,10.7,1.9,25.4,21:00,03/01/2015
0,10.2,2.7,16,22:00,03/01/2015
0,9.2,1.3,10.4,23:00,03/01/2015
0,8.9,1.9,11.8,00:00,03/01/2015
0,8.9,2.3,25.5,01:00,04/01/2015
0,8.1,3.2,27.2,02:00,04/01/2015
0,7.7,2.5,29.6,03:00,04/01/2015
0.1,7.5,2.4,28.4,04:00,04/01/2015
0,8,1.9,28.1,05:00,04/01/2015
