Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,14.2,1.2,88,0:00,31/12/2014
0,14,0.3,68.2,1:00,01/01/2015
0,14,1,72.9,2:00,01/01/2015
0,14,1.4,63.9,3:00,01/01/2015
0,13.9,1.2,57.6,4:00,01/01/2015
0,13.5,0.6,53.1,5:00,01/01/2015
0,14.4,2.1,24.3,6:00,01/01/2015
0,13.9,2,48.1,7:00,01/01/2015
0,13.7,0.7,61,8:00,01/01/2015
0,14.6,1.8,60.9,9:00,01/01/2015
0,15.5,1.6,63.3,10:00,01/01/2015
0,17.8,1.3,60.8,11:00,01/01/2015
0,18.8,1.3,41.1,12:00,01/01/2015
0,19,2.3,50.5,13:00,01/01/2015
0,18.3,4.4,85.5,14:00,01/01/2015
0,17.5,4,85.1,15:00,01/01/2015
0,17.1,4.3,209.8,16:00,01/01/2015
0,16.4,2.4,300.1,17:00,01/01/2015
0,15.8,1.9,292,18:00,01/01/2015
0,15.3,1.7,229.5,19:00,01/01/2015
0,15,1.6,240.8,20:00,01/01/2015
0,13.2,2,292.5,21:00,01/01/2015
0,11.8,2.3,281.9,22:00,01/01/2015
0,11.2,2.4,290.6,23:00,01/01/2015
0,11,2.3,259.8,0:00,01/01/2015
0,10.8,2.3,285.4,1:00,02/01/2015
0,10.4,2.6,308.1,2:00,02/01/2015
0,9.7,2.2,307.2,3:00,02/01/2015
0,9.4,1.9,280.1,4:00,02/01/2015
0,9.1,2.7,257,5:00,02/01/2015
0,9.2,2.9,245.4,6:00,02/01/2015
0,9.4,2.1,226.6,7:00,02/01/2015
0,10,1.9,201.8,8:00,02/01/2015
0,11.5,1.6,190.8,9:00,02/01/2015
0,12,1.2,196.1,10:00,02/01/2015
0,13.8,1.1,172.1,11:00,02/01/2015
0,14.6,2,188.8,12:00,02/01/2015
0,14.7,1.7,175.8,13:00,02/01/2015
0,14.3,1.4,187.2,14:00,02/01/2015
0.1,14.2,0.8,152.5,15:00,02/01/2015
0.1,14.3,0.9,140.7,16:00,02/01/2015
0.4,13.5,1.3,137.2,17:00,02/01/2015
0,13,1.8,127,18:00,02/01/2015
0,13,1.8,98.4,19:00,02/01/2015
0,13,1.9,94.3,20:00,02/01/2015
0,12.8,1.7,91.8,21:00,02/01/2015
0,12.8,1.4,97.8,22:00,02/01/2015
0,12.8,1.3,108.1,23:00,02/01/2015
0,12.6,1.4,105.6,0:00,02/01/2015
0,12.5,1.8,101.5,1:00,03/01/2015
0,12.4,1.6,71.4,2:00,03/01/2015
0,11.9,1.7,73.5,3:00,03/01/2015
0.5,11.6,1.5,50.5,4:00,03/01/2015
0.3,11.1,2,59.1,5:00,03/01/2015
0.2,11.3,1.8,32.4,6:00,03/01/2015
0.4,11,1.5,35.3,7:00,03/01/2015
0,11.1,2.1,31.8,8:00,03/01/2015
0,11.8,2,21.3,9:00,03/01/2015
0,13.5,1.9,22.9,10:00,03/01/2015
0,15.5,1.3,8.6,11:00,03/01/2015
0,16.3,1.4,18.4,12:00,03/01/2015
0.2,16.6,2.2,<Samp,13:00,03/01/2015
1.6,14.1,2.8,InVld,14:00,03/01/2015
0,14.7,3.6,InVld,15:00,03/01/2015
0,15,2.9,InVld,16:00,03/01/2015
0,14.8,1.8,InVld,17:00,03/01/2015
0,14.5,2.6,InVld,18:00,03/01/2015
0,13.1,1.8,InVld,19:00,03/01/2015
1.5,11.9,3.1,InVld,20:00,03/01/2015
0,12,0.8,InVld,21:00,03/01/2015
0,11.9,2,21.6,22:00,03/01/2015
1,10.9,2.4,16.8,23:00,03/01/2015
9.3,10.7,2.3,21,0:00,03/01/2015
0.1,10.2,2.1,6.1,1:00,04/01/2015
0,9.9,2.2,15,2:00,04/01/2015
1.1,9.9,2.6,8.3,3:00,04/01/2015
0.2,10,1.9,7.8,4:00,04/01/2015
4.3,9.3,2.6,12.2,5:00,04/01/2015
0,8.7,3,6.7,6:00,04/01/2015
0.2,8.3,2.3,11.3,7:00,04/01/2015
1,8,3,22.6,8:00,04/01/2015
0.2,8.9,2.2,9.3,9:00,04/01/2015
0,10.1,1.8,6.3,10:00,04/01/2015
0.3,11.2,2.2,30.7,11:00,04/01/2015
0,12,2,40.3,12:00,04/01/2015
0,13,1.8,40.3,13:00,04/01/2015
0,13.2,1.7,22.4,14:00,04/01/2015
0,13.2,1.2,15.3,15:00,04/01/2015
0.5,13.1,1.2,23.6,16:00,04/01/2015
2.5,12.4,1.7,21.4,17:00,04/01/2015
0.3,11.8,2.2,12,18:00,04/01/2015
0.1,11.5,2.2,11.2,19:00,04/01/2015
0,11.4,2.2,14,20:00,04/01/2015
0,11.4,1.8,22.1,21:00,04/01/2015
1.7,11.8,2.2,10.9,22:00,04/01/2015
0.2,11.7,2.2,18.1,23:00,04/01/2015
0,11.5,1.9,24.8,0:00,04/01/2015
0.9,11.2,1.5,26.2,1:00,05/01/2015
0.2,11.2,1.6,21,2:00,05/01/2015
0,11.6,2,21.4,3:00,05/01/2015
0,11.5,2,33.9,4:00,05/01/2015
0,10.9,1.4,40.9,5:00,05/01/2015
0,10.7,1.9,29.2,6:00,05/01/2015
0,10.6,1.8,32.4,7:00,05/01/2015
0,11.1,1.3,35,8:00,05/01/2015
0,12.4,1.8,34.3,9:00,05/01/2015
0,13.5,2.4,48.4,10:00,05/01/2015
0,14.5,2.4,35.9,11:00,05/01/2015
0,15.5,2.2,26.5,12:00,05/01/2015
0,15.8,2.5,25.9,13:00,05/01/2015
0,16,2.4,23.2,14:00,05/01/2015
0,16.3,2.5,27.6,15:00,05/01/2015
0,16.3,2.2,46.3,16:00,05/01/2015
0,15.5,1.2,68.9,17:00,05/01/2015
0,14.4,1.2,51.7,18:00,05/01/2015
0,13.6,1.5,41.5,19:00,05/01/2015
0,13.2,1.5,31.2,20:00,05/01/2015
0,12.9,1.4,33.9,21:00,05/01/2015
0,12.4,1.2,40.8,22:00,05/01/2015
0,12.3,1.3,37,23:00,05/01/2015
0,12.5,1.4,30.3,0:00,05/01/2015
0,12.6,1.5,27,1:00,06/01/2015
0,12.5,2,22.8,2:00,06/01/2015
0,12.9,2.4,18.8,3:00,06/01/2015
0,13,2.2,22.2,4:00,06/01/2015
0,12.8,2.3,22.2,5:00,06/01/2015
0,12.8,2.3,22.7,6:00,06/01/2015
0,13,2.8,20.2,7:00,06/01/2015
0,13.2,3.1,33,8:00,06/01/2015
0,14.1,3,35.2,9:00,06/01/2015
0,14.3,3.1,53.2,10:00,06/01/2015
0,14.3,3,96.2,11:00,06/01/2015
0,14.5,3,232.7,12:00,06/01/2015
0,15.3,3.9,280.3,13:00,06/01/2015
0,15.4,4.7,254.2,14:00,06/01/2015
0,15.2,5.1,306.8,15:00,06/01/2015
0,15,4.3,525.2,16:00,06/01/2015
0,14.6,4.7,833.4,17:00,06/01/2015
0,14.2,4.5,796.1,18:00,06/01/2015
0,13.9,4.4,600.2,19:00,06/01/2015
0,13.4,4.7,404.9,20:00,06/01/2015
0,13.1,5,496.3,21:00,06/01/2015
0,12.7,4.5,800.2,22:00,06/01/2015
0,12.4,4.7,1171.8,23:00,06/01/2015
0,12.4,4.4,1159.5,0:00,06/01/2015
0,12.3,4.5,885,1:00,07/01/2015
0,12.3,3.8,777.8,2:00,07/01/2015
0,12.1,4.3,489.6,3:00,07/01/2015
0,11.4,4,363.3,4:00,07/01/2015
0,9.3,3.9,513.5,5:00,07/01/2015
0,9.1,4.4,578.4,6:00,07/01/2015
0.2,9.2,4.6,479.8,7:00,07/01/2015
1.3,9.2,4,556.2,8:00,07/01/2015
6.7,8.6,4.1,390.4,9:00,07/01/2015
9.9,7.4,5.1,166.5,10:00,07/01/2015
1.4,7.8,5.6,20.2,11:00,07/01/2015
1.7,9.1,6.1,2.2,12:00,07/01/2015
8.7,7.2,4.7,29.1,13:00,07/01/2015
1.4,9.3,3.9,11.6,14:00,07/01/2015
