Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,15.5,0.2,6.4,00:00,31/12/2014
0,14.9,0.4,36.8,01:00,01/01/2015
0,16.2,0.3,3,02:00,01/01/2015
0,16.1,0.2,12.6,03:00,01/01/2015
0,16.3,0.3,7.9,04:00,01/01/2015
0,16.5,0.1,18.3,05:00,01/01/2015
0,16.6,0.7,13.4,06:00,01/01/2015
0,16.4,0.5,15.3,07:00,01/01/2015
0,15.7,0.2,94.3,08:00,01/01/2015
0,17.6,0.1,41.6,09:00,01/01/2015
0,19.3,0.2,25.1,10:00,01/01/2015
0,19.7,1.2,60.2,11:00,01/01/2015
0,19.4,1.7,103,12:00,01/01/2015
0,19,1.2,35.2,13:00,01/01/2015
0,18.5,0.3,51,14:00,01/01/2015
0,17.7,0.2,12.4,15:00,01/01/2015
0,17.2,0.4,50.2,16:00,01/01/2015
0,16.5,0.7,74.1,17:00,01/01/2015
0,16,0.8,138,18:00,01/01/2015
0,15.8,1,149.7,19:00,01/01/2015
0,15.4,1.3,124.9,20:00,01/01/2015
0,15.1,1,161.6,21:00,01/01/2015
0,15.1,0.9,178.2,22:00,01/01/2015
0,15.1,1.1,187.3,23:00,01/01/2015
0,15,1.1,177.1,00:00,01/01/2015
0,14.7,1.5,161.1,01:00,02/01/2015
0,13.3,1.1,131.9,02:00,02/01/2015
0,13,1.3,121.4,03:00,02/01/2015
0.2,13,1.3,130.3,04:00,02/01/2015
3.8,12.8,1.2,132.5,05:00,02/01/2015
0,11.2,1.3,93.8,06:00,02/01/2015
0.1,11.2,2,46.8,07:00,02/01/2015
0.7,11.4,2,39.8,08:00,02/01/2015
0,11.5,2.5,72,09:00,02/01/2015
0,12.4,2,83.6,10:00,02/01/2015
0,13.2,2.2,57.6,11:00,02/01/2015
0,14.1,1.9,59.4,12:00,02/01/2015
0,14.6,1.5,57.2,13:00,02/01/2015
0,14.1,1.4,62.2,14:00,02/01/2015
0,14,1.6,58.2,15:00,02/01/2015
0,14.2,1.9,61.5,16:00,02/01/2015
0.6,13.6,1.4,65.6,17:00,02/01/2015
0,13,1,42.2,18:00,02/01/2015
0.3,13,1.4,29.5,19:00,02/01/2015
2.1,13.1,0.9,42.2,20:00,02/01/2015
1.3,12.8,1,35,21:00,02/01/2015
1.1,12.7,1.1,18.2,22:00,02/01/2015
0,12.3,1.6,21.8,23:00,02/01/2015
0,12.3,0.1,9.1,00:00,02/01/2015
0,12.3,0.7,8,01:00,03/01/2015
0,12.4,0.8,4.5,02:00,03/01/2015
0.8,12.2,0.4,5.4,03:00,03/01/2015
0.9,12.3,0.3,24.2,04:00,03/01/2015
0.4,11.9,0.1,14.9,05:00,03/01/2015
0,12,0.5,7.4,06:00,03/01/2015
0,12.2,0.2,3.7,07:00,03/01/2015
0,12.6,0.5,9.8,08:00,03/01/2015
0,14.1,0.6,35.5,09:00,03/01/2015
0.1,15.3,1,21.8,10:00,03/01/2015
0,14.5,0.7,26,11:00,03/01/2015
2.9,14.9,1.3,6.8,12:00,03/01/2015
0,13.4,0.3,21.4,13:00,03/01/2015
0,13,0,34.8,14:00,03/01/2015
0,13.4,0.1,1.7,15:00,03/01/2015
0,14.2,0.1,15.1,16:00,03/01/2015
0,13.8,0,4.2,17:00,03/01/2015
0,13.5,0,18.6,18:00,03/01/2015
0,13.6,0.1,8.8,19:00,03/01/2015
0.1,12.3,0,35.4,20:00,03/01/2015
2.2,12.2,0.2,21.8,21:00,03/01/2015
0.4,11.3,0.3,11.3,22:00,03/01/2015
2.8,10.9,0.7,12.6,23:00,03/01/2015
0.2,11.1,0.8,11.9,00:00,03/01/2015
0.1,11.3,1,0.6,01:00,04/01/2015
0.8,11.5,0.1,9.3,02:00,04/01/2015
0.3,10.6,0.6,8.4,03:00,04/01/2015
0.5,10.2,0.3,5.4,04:00,04/01/2015
0.2,10.2,0.6,3.7,05:00,04/01/2015
2.9,10,0.8,6.8,06:00,04/01/2015
3.4,10.2,1.3,7.8,07:00,04/01/2015
0.2,10.5,1.3,11.2,08:00,04/01/2015
0.3,10.7,2.6,31.6,09:00,04/01/2015
0,11.2,2.6,32.3,10:00,04/01/2015
0,11.8,2.6,8.4,11:00,04/01/2015
0,11.5,2.3,20.7,12:00,04/01/2015
0.8,13,2.1,21.9,13:00,04/01/2015
0,12.7,2.4,34.4,14:00,04/01/2015
1.5,12.6,1.8,19.7,15:00,04/01/2015
0,12.7,1.1,22.1,16:00,04/01/2015
0,12.8,0.6,9.8,17:00,04/01/2015
0,12.6,0.9,4.8,18:00,04/01/2015
0,12.8,0.6,10.4,19:00,04/01/2015
0,12.9,1.1,11.8,20:00,04/01/2015
0,12.8,1.1,7.8,21:00,04/01/2015
0.1,12.6,1.3,0.3,22:00,04/01/2015
1.2,12.5,2,12.9,23:00,04/01/2015
0,12.3,1.8,11.8,00:00,04/01/2015
0.1,12.2,1.6,5.3,01:00,05/01/2015
0.6,12.3,1.5,14.6,02:00,05/01/2015
5.5,12.6,1.4,9.3,03:00,05/01/2015
0.1,12.3,1.2,1.7,04:00,05/01/2015
0,12.1,1.8,13.7,05:00,05/01/2015
0,12,2.2,0,06:00,05/01/2015
0,11.5,2.6,0.8,07:00,05/01/2015
0,11.7,2.7,5.6,08:00,05/01/2015
0,12.4,3.3,18,09:00,05/01/2015
0,13.7,3.3,17.6,10:00,05/01/2015
0,14.7,3.1,21.9,11:00,05/01/2015
0,14.5,3.2,15.9,12:00,05/01/2015
0,14.9,3.3,19.8,13:00,05/01/2015
0,15,2.8,12.3,14:00,05/01/2015
0,14.9,2.7,5.9,15:00,05/01/2015
0,15,1.9,8.1,16:00,05/01/2015
0,14.8,1.9,10.4,17:00,05/01/2015
0,14.3,2.4,3.1,18:00,05/01/2015
0,14.2,2.2,1.6,19:00,05/01/2015
0,14.3,2.7,0.2,20:00,05/01/2015
0,14.4,2.9,10.5,21:00,05/01/2015
0,14.7,3.2,31.3,22:00,05/01/2015
0,14.6,3.3,23.6,23:00,05/01/2015
0,14.4,3.5,12.2,00:00,05/01/2015
0,14.2,3.7,17.4,01:00,06/01/2015
0,13.8,3.8,12.8,02:00,06/01/2015
0,13.7,3.7,23.8,03:00,06/01/2015
0,13.8,3.5,17.5,04:00,06/01/2015
0,13.8,4,14.6,05:00,06/01/2015
0,13.7,4.3,16.9,06:00,06/01/2015
0,13.4,4.8,15.7,07:00,06/01/2015
0,13.6,5.3,29.5,08:00,06/01/2015
0,13.6,4.1,27.8,09:00,06/01/2015
0.5,13.4,3.4,60.4,10:00,06/01/2015
0.5,13.1,3.3,54.6,11:00,06/01/2015
0,12.7,2.6,54.4,12:00,06/01/2015
0,14.4,3.1,28.3,13:00,06/01/2015
0,14.4,3.6,38,14:00,06/01/2015
0,14.3,3,58.8,15:00,06/01/2015
0.3,13.8,2.8,113.5,16:00,06/01/2015
0.8,12.2,2.5,74.7,17:00,06/01/2015
0,11.6,1,33.2,18:00,06/01/2015
0,11.6,1,107.8,19:00,06/01/2015
0,11.6,1,93.5,20:00,06/01/2015
0.8,11.6,1,177.2,21:00,06/01/2015
0.5,11.6,1,335.1,22:00,06/01/2015
0.8,11.6,1,237,23:00,06/01/2015
0.3,11.6,1,258,00:00,06/01/2015
0.5,11.6,1,142.5,01:00,07/01/2015
5.5,11.6,1,66.1,02:00,07/01/2015
0.7,11.6,1,67.7,03:00,07/01/2015
0.7,11.6,1,35.8,04:00,07/01/2015
