Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,InVld,0.7,29.1,0:00,31/12/2014
0,InVld,0.6,27.8,1:00,01/01/2015
0,InVld,0.6,27.5,2:00,01/01/2015
0,InVld,1,27.7,3:00,01/01/2015
0,InVld,0.9,20.3,4:00,01/01/2015
0,InVld,0.8,25.2,5:00,01/01/2015
0,InVld,0.5,18.2,6:00,01/01/2015
0,InVld,0.7,20.2,7:00,01/01/2015
0,InVld,0.4,29.1,8:00,01/01/2015
0,InVld,0.8,80.8,9:00,01/01/2015
0,InVld,1.8,113.9,10:00,01/01/2015
0,InVld,2.6,67.6,11:00,01/01/2015
0,InVld,3.2,45.4,12:00,01/01/2015
0,InVld,3.6,40.6,13:00,01/01/2015
0,InVld,3.7,57.6,14:00,01/01/2015
0,InVld,3.3,75.8,15:00,01/01/2015
0,InVld,3.2,72,16:00,01/01/2015
0,InVld,3.1,75.4,17:00,01/01/2015
0,InVld,3.5,202.5,18:00,01/01/2015
0,InVld,3.6,280.7,19:00,01/01/2015
0,InVld,4.1,288.5,20:00,01/01/2015
0,InVld,4.1,267.4,21:00,01/01/2015
0,InVld,3.4,216.1,22:00,01/01/2015
0,InVld,2,193.7,23:00,01/01/2015
0,InVld,3.2,216.6,0:00,01/01/2015
0,InVld,3.1,248.4,1:00,02/01/2015
0,InVld,4,276.3,2:00,02/01/2015
0,InVld,4.1,283.5,3:00,02/01/2015
0,InVld,3.5,262.7,4:00,02/01/2015
0,InVld,3.4,218.2,5:00,02/01/2015
0,InVld,2.6,221,6:00,02/01/2015
0,InVld,2.1,230,7:00,02/01/2015
0,InVld,1.8,229.8,8:00,02/01/2015
0,InVld,2.2,207.3,9:00,02/01/2015
0,InVld,1.9,180.5,10:00,02/01/2015
0,InVld,2.4,156.2,11:00,02/01/2015
0,InVld,2.3,135.6,12:00,02/01/2015
0,InVld,2.3,121.6,13:00,02/01/2015
0,InVld,1.9,97,14:00,02/01/2015
0,InVld,1.8,78.2,15:00,02/01/2015
0,InVld,1.5,80.1,16:00,02/01/2015
0,InVld,1.2,92.8,17:00,02/01/2015
0,InVld,1.2,90.1,18:00,02/01/2015
0,InVld,1.1,89.9,19:00,02/01/2015
0,InVld,0.9,96.1,20:00,02/01/2015
0,InVld,0.5,106.6,21:00,02/01/2015
0,InVld,0.5,99.9,22:00,02/01/2015
0,InVld,0.5,85.9,23:00,02/01/2015
0,InVld,0.6,61.2,0:00,02/01/2015
0,InVld,0.7,39.6,1:00,03/01/2015
0,InVld,0.5,20.2,2:00,03/01/2015
0,InVld,0.4,20.6,3:00,03/01/2015
0,InVld,0.3,23.9,4:00,03/01/2015
0,InVld,0.4,25.4,5:00,03/01/2015
0,InVld,0.3,22.6,6:00,03/01/2015
0,InVld,0.3,19.6,7:00,03/01/2015
0,InVld,0.4,15,8:00,03/01/2015
0,InVld,1,10,9:00,03/01/2015
0,InVld,1.4,17.2,10:00,03/01/2015
0,InVld,1.5,5.5,11:00,03/01/2015
0.1,InVld,2.5,-1.8,12:00,03/01/2015
0,InVld,2.6,6.4,13:00,03/01/2015
2.3,InVld,3.1,14.2,14:00,03/01/2015
2,InVld,3.1,19.8,15:00,03/01/2015
0.7,InVld,3,20.2,16:00,03/01/2015
0.6,InVld,3.1,4.9,17:00,03/01/2015
2.5,InVld,1.9,2.2,18:00,03/01/2015
0,InVld,2,7.2,19:00,03/01/2015
0,InVld,2,6.6,20:00,03/01/2015
2.9,InVld,2.1,9.6,21:00,03/01/2015
0.3,InVld,2.8,6.1,22:00,03/01/2015
0,InVld,3.6,3.6,23:00,03/01/2015
0.4,InVld,2.7,6.5,0:00,03/01/2015
0,InVld,3.1,8,1:00,04/01/2015
0,InVld,3.7,8.3,2:00,04/01/2015
0.7,InVld,2.5,7.9,3:00,04/01/2015
0.8,InVld,2.4,5.3,4:00,04/01/2015
0.2,InVld,2.9,2.6,5:00,04/01/2015
0,InVld,2,6.9,6:00,04/01/2015
0,InVld,2,6.4,7:00,04/01/2015
0,InVld,2,14.2,8:00,04/01/2015
0,InVld,1.9,14,9:00,04/01/2015
0,InVld,3,19.9,10:00,04/01/2015
0,InVld,3,24.1,11:00,04/01/2015
0,InVld,3.1,32.6,12:00,04/01/2015
0,InVld,3.2,19,13:00,04/01/2015
0,InVld,3.3,40.2,14:00,04/01/2015
0.6,InVld,2.4,31.3,15:00,04/01/2015
1.6,InVld,2,37.9,16:00,04/01/2015
0.5,InVld,1.7,25.3,17:00,04/01/2015
0,InVld,2.5,12.1,18:00,04/01/2015
0,InVld,2.3,18.4,19:00,04/01/2015
0,InVld,2.4,10.4,20:00,04/01/2015
1.1,InVld,1.5,13.7,21:00,04/01/2015
1.4,InVld,1.9,9.8,22:00,04/01/2015
1.4,InVld,1.7,12.1,23:00,04/01/2015
0.1,InVld,2.8,12.5,0:00,04/01/2015
0,InVld,3.1,22,1:00,05/01/2015
0,InVld,3.4,29.7,2:00,05/01/2015
0,InVld,3,31.4,3:00,05/01/2015
0,InVld,3.7,37.9,4:00,05/01/2015
0,InVld,2.9,40.5,5:00,05/01/2015
0,InVld,2.6,30.8,6:00,05/01/2015
0,InVld,2.1,28,7:00,05/01/2015
0,InVld,1.8,25.3,8:00,05/01/2015
0,InVld,2.6,32.4,9:00,05/01/2015
0,InVld,2.9,26.7,10:00,05/01/2015
0,InVld,2.7,34.6,11:00,05/01/2015
0,InVld,2.7,31.7,12:00,05/01/2015
0,InVld,2.5,23,13:00,05/01/2015
0,InVld,2.3,18.8,14:00,05/01/2015
0,InVld,2.4,27.3,15:00,05/01/2015
0,InVld,2.5,26.6,16:00,05/01/2015
0,InVld,1.9,30.4,17:00,05/01/2015
0,InVld,1.4,40.1,18:00,05/01/2015
0,InVld,1.6,39.7,19:00,05/01/2015
0,InVld,2.2,42.7,20:00,05/01/2015
0,InVld,2.5,32.4,21:00,05/01/2015
0,InVld,2.6,26.1,22:00,05/01/2015
0,InVld,2.7,36.4,23:00,05/01/2015
0,InVld,3,25.6,0:00,05/01/2015
0,InVld,2.8,31.6,1:00,06/01/2015
0,InVld,3.7,23.8,2:00,06/01/2015
0,InVld,3.7,17,3:00,06/01/2015
0,InVld,3.6,24.5,4:00,06/01/2015
0,InVld,3,26.9,5:00,06/01/2015
0,InVld,3.2,26.3,6:00,06/01/2015
0,InVld,3.9,36.5,7:00,06/01/2015
0,InVld,4.1,37,8:00,06/01/2015
0,InVld,4.3,44.7,9:00,06/01/2015
0,InVld,4.1,72.5,10:00,06/01/2015
0,InVld,4.7,91.8,11:00,06/01/2015
0,InVld,4.3,137.8,12:00,06/01/2015
0,InVld,4.8,182.5,13:00,06/01/2015
0,InVld,5.4,174.5,14:00,06/01/2015
0,InVld,5,236.5,15:00,06/01/2015
0,InVld,5.4,475.5,16:00,06/01/2015
0,InVld,4.9,709,17:00,06/01/2015
0,InVld,5.1,1106.2,18:00,06/01/2015
0,InVld,5.4,1454.3,19:00,06/01/2015
0,InVld,5,1244.8,20:00,06/01/2015
0,InVld,5.3,1118.2,21:00,06/01/2015
0,InVld,6.4,1169.2,22:00,06/01/2015
0,InVld,6.9,1207.9,23:00,06/01/2015
0,InVld,5.6,1321.5,0:00,06/01/2015
0,InVld,5.9,1362.9,1:00,07/01/2015
0,InVld,4.6,1194.3,2:00,07/01/2015
0,InVld,4.8,1074.8,3:00,07/01/2015
0,InVld,5,698.4,4:00,07/01/2015
0,InVld,5.3,406.2,5:00,07/01/2015
0,InVld,5.7,317.1,6:00,07/01/2015
0,InVld,5.7,211.1,7:00,07/01/2015
0,InVld,6.2,293.6,8:00,07/01/2015
0.1,InVld,6.3,402.7,9:00,07/01/2015
1.1,InVld,6.6,335.3,10:00,07/01/2015
0.8,InVld,7.3,263.4,11:00,07/01/2015
0,InVld,7.5,266.7,12:00,07/01/2015
3.3,InVld,7.5,311.9,13:00,07/01/2015
0.3,InVld,5.4,136.4,14:00,07/01/2015
4.4,InVld,5.2,23,15:00,07/01/2015
1.7,InVld,4.6,53.7,16:00,07/01/2015
3.7,InVld,6.9,38.2,17:00,07/01/2015
1.7,InVld,4.3,8.2,18:00,07/01/2015
4.7,InVld,4.7,6.5,19:00,07/01/2015
4.4,InVld,3.5,2.2,20:00,07/01/2015
1.8,InVld,4.8,3.7,21:00,07/01/2015
3.2,InVld,5.3,1.6,22:00,07/01/2015
2.9,InVld,5.4,3.1,23:00,07/01/2015
1.1,InVld,5.2,-0.1,0:00,07/01/2015
3.1,InVld,5,4.6,1:00,08/01/2015
0.4,InVld,6,7.4,2:00,08/01/2015
1.5,InVld,6.9,3.1,3:00,08/01/2015
