Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,Down,0.9,69.2,0:00,31/12/2014
0,Down,1.2,57.4,1:00,01/01/2015
0,Down,1.5,52.6,2:00,01/01/2015
0,Down,1.5,37.4,3:00,01/01/2015
0,Down,1.1,41.1,4:00,01/01/2015
0,Down,1.2,26.2,5:00,01/01/2015
0,Down,1.2,28.8,6:00,01/01/2015
0,Down,1.3,38.1,7:00,01/01/2015
0,Down,0.6,53.1,8:00,01/01/2015
0,Down,0.6,47.3,9:00,01/01/2015
0,Down,2,49.6,10:00,01/01/2015
0,Down,2.4,45.7,11:00,01/01/2015
0,Down,2.5,32.9,12:00,01/01/2015
0,Down,2.3,65.2,13:00,01/01/2015
0.3,Down,2.4,102.8,14:00,01/01/2015
0,Down,2.3,72.4,15:00,01/01/2015
0,Down,3.4,99.6,16:00,01/01/2015
0,Down,2.6,209.3,17:00,01/01/2015
0,Down,1.7,250.5,18:00,01/01/2015
0,Down,2.3,255,19:00,01/01/2015
0,Down,1.8,261.4,20:00,01/01/2015
0,Down,1.1,245.6,21:00,01/01/2015
0,Down,0.8,213.8,22:00,01/01/2015
0,Down,0.9,198.6,23:00,01/01/2015
0,Down,0.9,205,0:00,01/01/2015
0,Down,0.9,228.9,1:00,02/01/2015
0,Down,2,253.6,2:00,02/01/2015
0,Down,1.4,270.5,3:00,02/01/2015
0,Down,2.6,245,4:00,02/01/2015
0,Down,2,242.9,5:00,02/01/2015
0,Down,1.7,226.5,6:00,02/01/2015
0,Down,1.6,210.1,7:00,02/01/2015
0,Down,3.2,187.3,8:00,02/01/2015
0,Down,3,163.4,9:00,02/01/2015
0,Down,3.2,160,10:00,02/01/2015
0,Down,2.9,148.8,11:00,02/01/2015
0,Down,2.9,143.1,12:00,02/01/2015
0,Down,2.1,128.7,13:00,02/01/2015
0,Down,1.7,107.6,14:00,02/01/2015
0,Down,1.9,100,15:00,02/01/2015
0,Down,1.5,100.1,16:00,02/01/2015
0,Down,0.9,93.1,17:00,02/01/2015
0,Down,0.8,103.9,18:00,02/01/2015
0,Down,1.1,108.4,19:00,02/01/2015
0,Down,1.2,101.3,20:00,02/01/2015
0,Down,1,102.9,21:00,02/01/2015
0,Down,1,83.8,22:00,02/01/2015
0,Down,1,62,23:00,02/01/2015
0,Down,0.8,56.2,0:00,02/01/2015
0,Down,0.8,33.9,1:00,03/01/2015
0,Down,0.8,26.4,2:00,03/01/2015
0,Down,1.1,29.6,3:00,03/01/2015
0,Down,1.1,40.4,4:00,03/01/2015
0,Down,1.3,36,5:00,03/01/2015
0.4,Down,0.9,34.6,6:00,03/01/2015
0.6,Down,1,27.9,7:00,03/01/2015
0,Down,1,22.9,8:00,03/01/2015
0,Down,1.3,28.1,9:00,03/01/2015
0,Down,1.6,12.7,10:00,03/01/2015
0,Down,1.8,20.2,11:00,03/01/2015
0,Down,2.2,17.1,12:00,03/01/2015
0,Down,1.9,22.3,13:00,03/01/2015
3.8,Down,2.8,22.8,14:00,03/01/2015
10.8,Down,1.9,11.4,15:00,03/01/2015
2.7,Down,1.6,11.2,16:00,03/01/2015
0.3,Down,1.3,11.7,17:00,03/01/2015
0.9,Down,1.6,10.6,18:00,03/01/2015
0,Down,1.1,14.4,19:00,03/01/2015
0.6,Down,1.2,17.2,20:00,03/01/2015
0.6,Down,1.1,10.7,21:00,03/01/2015
0.5,Down,2.5,13.1,22:00,03/01/2015
0,Down,1.9,10.9,23:00,03/01/2015
2.5,Down,1.9,17.7,0:00,03/01/2015
2.3,Down,1.7,12.8,1:00,04/01/2015
0,Down,3.4,11.2,2:00,04/01/2015
2.3,Down,2.2,16.1,3:00,04/01/2015
2.5,Down,3.7,12.6,4:00,04/01/2015
1.5,Down,4,19.1,5:00,04/01/2015
0,Down,2.1,22.2,6:00,04/01/2015
0.1,Down,3.4,17.1,7:00,04/01/2015
0,Down,2.9,23.4,8:00,04/01/2015
0,Down,3.1,24.9,9:00,04/01/2015
0,Down,4.8,24.3,10:00,04/01/2015
0,Down,3.8,34.4,11:00,04/01/2015
0,Down,3.8,32.1,12:00,04/01/2015
0,Down,4,32.5,13:00,04/01/2015
0.4,Down,2.7,26.4,14:00,04/01/2015
3.7,Down,2.1,27.7,15:00,04/01/2015
0,Down,2,27.5,16:00,04/01/2015
0.9,Down,1.6,22.5,17:00,04/01/2015
7.1,Down,1.3,20.5,18:00,04/01/2015
0.1,Down,2,22.2,19:00,04/01/2015
0,Down,3.2,16.6,20:00,04/01/2015
0.4,Down,3,12.8,21:00,04/01/2015
0.8,Down,3.4,16.8,22:00,04/01/2015
0.1,Down,3.7,19.5,23:00,04/01/2015
0.4,Down,4,28.4,0:00,04/01/2015
0,Down,4.4,32.6,1:00,05/01/2015
0,Down,5.2,34.6,2:00,05/01/2015
0,Down,4.9,36.8,3:00,05/01/2015
0,Down,4.8,42.6,4:00,05/01/2015
0,Down,3.7,43.1,5:00,05/01/2015
0,Down,3.1,42.3,6:00,05/01/2015
0,Down,3.2,43.6,7:00,05/01/2015
0,Down,3.3,38.5,8:00,05/01/2015
0,Down,4,39.6,9:00,05/01/2015
0,Down,4.1,36.3,10:00,05/01/2015
0,Down,4.2,27.3,11:00,05/01/2015
0,Down,3.8,26.1,12:00,05/01/2015
0,Down,2.9,20.2,13:00,05/01/2015
0,Down,3.5,20.8,14:00,05/01/2015
0,Down,2.8,29.3,15:00,05/01/2015
0,Down,3,29.2,16:00,05/01/2015
0,Down,2.7,25.5,17:00,05/01/2015
0,Down,2.2,26.6,18:00,05/01/2015
0,Down,2.1,29.2,19:00,05/01/2015
0,Down,2.7,38,20:00,05/01/2015
0,Down,3.8,34,21:00,05/01/2015
0,Down,3.8,39.3,22:00,05/01/2015
0,Down,4.4,32.7,23:00,05/01/2015
0,Down,5.2,29.8,0:00,05/01/2015
0,Down,5,25.6,1:00,06/01/2015
0,Down,4.6,20.7,2:00,06/01/2015
0,Down,4.1,21.1,3:00,06/01/2015
0,Down,5,23.6,4:00,06/01/2015
0,Down,5,24.9,5:00,06/01/2015
0,Down,5.4,20,6:00,06/01/2015
0,Down,5.1,24.9,7:00,06/01/2015
0,Down,5.8,34.5,8:00,06/01/2015
0,Down,6.6,41,9:00,06/01/2015
0,Down,6.1,33.2,10:00,06/01/2015
0,Down,5.1,45.5,11:00,06/01/2015
0,Down,4.8,122.1,12:00,06/01/2015
0,Down,4.6,250.1,13:00,06/01/2015
0,Down,4.4,313.4,14:00,06/01/2015
0,Down,4.2,420.9,15:00,06/01/2015
0,Down,4.3,450.4,16:00,06/01/2015
0,Down,4.3,845.9,17:00,06/01/2015
0,Down,4.4,1289.7,18:00,06/01/2015
0,Down,4.2,1131.4,19:00,06/01/2015
0,Down,4.2,982.8,20:00,06/01/2015
0,Down,4.4,961.8,21:00,06/01/2015
0,Down,5.1,946.3,22:00,06/01/2015
0,Down,5.6,1090.2,23:00,06/01/2015
0,Down,6.4,1253.1,0:00,06/01/2015
