Rain_mm,Temp_c,WS_m/sec,PM10_µg/m3,Hour,Date
0,Down,2,85.2,0:00,31/12/2014
0,Down,1.1,83.6,1:00,01/01/2015
0,Down,1.4,75.6,2:00,01/01/2015
0,Down,2,79.2,3:00,01/01/2015
0,Down,1.9,73.2,4:00,01/01/2015
0,Down,1,69.9,5:00,01/01/2015
0,Down,1.9,60.4,6:00,01/01/2015
0,Down,1.9,65,7:00,01/01/2015
0,Down,1.7,58.5,8:00,01/01/2015
0,Down,1,74.8,9:00,01/01/2015
0,Down,1.8,79.7,10:00,01/01/2015
0,Down,3,68.8,11:00,01/01/2015
0,Down,3.1,37.3,12:00,01/01/2015
0.1,Down,3.2,43.9,13:00,01/01/2015
0,Down,4.1,65.5,14:00,01/01/2015
0,Down,4.4,95.5,15:00,01/01/2015
0,Down,4.2,214.6,16:00,01/01/2015
0,Down,4.1,285.8,17:00,01/01/2015
0,Down,3.7,301,18:00,01/01/2015
0,Down,3.4,230.4,19:00,01/01/2015
0,Down,3.6,247.6,20:00,01/01/2015
0,Down,2.7,333.6,21:00,01/01/2015
0,Down,2.1,416.5,22:00,01/01/2015
0,Down,2.9,313,23:00,01/01/2015
0,Down,2,261.7,0:00,01/01/2015
0,Down,2,250.5,1:00,02/01/2015
0,Down,2.3,270.9,2:00,02/01/2015
0,Down,2.8,279.4,3:00,02/01/2015
0,Down,2.6,268,4:00,02/01/2015
0,Down,3.4,254.8,5:00,02/01/2015
0,Down,3.4,237,6:00,02/01/2015
0,Down,2.9,222.3,7:00,02/01/2015
0,Down,3.3,205.8,8:00,02/01/2015
0,Down,2.6,200.5,9:00,02/01/2015
0,Down,1.6,193.4,10:00,02/01/2015
0,Down,3.1,184.8,11:00,02/01/2015
0,Down,3.7,185,12:00,02/01/2015
0,Down,4.1,198.1,13:00,02/01/2015
0,Down,3.6,183.3,14:00,02/01/2015
0.4,Down,2,157.6,15:00,02/01/2015
2.1,Down,1.8,133.2,16:00,02/01/2015
1.2,Down,1.4,168.2,17:00,02/01/2015
0,Down,2.5,122.1,18:00,02/01/2015
0,Down,2.2,122.1,19:00,02/01/2015
0,Down,2.2,98.4,20:00,02/01/2015
0,Down,2.3,93.9,21:00,02/01/2015
0,Down,2,103,22:00,02/01/2015
0,Down,2.2,118.2,23:00,02/01/2015
0,Down,1.8,114.4,0:00,02/01/2015
0,Down,1.7,103.3,1:00,03/01/2015
0,Down,2.1,100.6,2:00,03/01/2015
0,Down,2,68.7,3:00,03/01/2015
0,Down,1.5,71.7,4:00,03/01/2015
0,Down,1.9,47.8,5:00,03/01/2015
0,Down,2,39.2,6:00,03/01/2015
0.1,Down,2,37,7:00,03/01/2015
0,Down,2.7,35,8:00,03/01/2015
0,Down,2.5,18.2,9:00,03/01/2015
0,Down,2.8,23.3,10:00,03/01/2015
0,Down,2.1,19.1,11:00,03/01/2015
0,Down,2.9,18.2,12:00,03/01/2015
6.8,Down,3.3,24.3,13:00,03/01/2015
0.8,Down,3.1,40,14:00,03/01/2015
0.1,Down,3.3,2.9,15:00,03/01/2015
1.5,Down,2.9,5.8,16:00,03/01/2015
0.2,Down,2.3,16.7,17:00,03/01/2015
0,Down,3.1,12,18:00,03/01/2015
0,Down,1.8,6.6,19:00,03/01/2015
3.8,Down,3.8,35.3,20:00,03/01/2015
0.4,Down,0.9,17,21:00,03/01/2015
0,Down,2.2,4.6,22:00,03/01/2015
1,Down,2.4,23.5,23:00,03/01/2015
0.8,Down,2.6,20.6,0:00,03/01/2015
0.9,Down,1.5,14.9,1:00,04/01/2015
0.1,Down,3.1,10.1,2:00,04/01/2015
8.4,Down,2.2,13.6,3:00,04/01/2015
0.2,Down,2.8,15.2,4:00,04/01/2015
0.2,Down,3.6,8.7,5:00,04/01/2015
0.1,Down,4,11.6,6:00,04/01/2015
1.2,Down,3.5,14.2,7:00,04/01/2015
2,Down,3.9,24.3,8:00,04/01/2015
1.4,Down,4,26.2,9:00,04/01/2015
<Samp,Down,4.4,22.5,10:00,04/01/2015
InVld,Down,4.1,45.6,11:00,04/01/2015
InVld,Down,3.5,37.5,12:00,04/01/2015
InVld,Down,4.6,35.8,13:00,04/01/2015
InVld,Down,4.2,11.4,14:00,04/01/2015
InVld,Down,3.6,18.9,15:00,04/01/2015
InVld,Down,3.3,19.2,16:00,04/01/2015
<Samp,Down,2.2,22.6,17:00,04/01/2015
0,Down,2.7,18.5,18:00,04/01/2015
0,Down,2.4,12.6,19:00,04/01/2015
0,Down,3.4,14.2,20:00,04/01/2015
0,Down,3,17.4,21:00,04/01/2015
8.9,Down,3,15.5,22:00,04/01/2015
0.5,Down,2.5,20.8,23:00,04/01/2015
0.1,Down,3,20,0:00,04/01/2015
0.9,Down,2.8,22.6,1:00,05/01/2015
0.7,Down,3.4,33.6,2:00,05/01/2015
0,Down,3.4,25.6,3:00,05/01/2015
0,Down,4.3,28.9,4:00,05/01/2015
0,Down,3.6,38.9,5:00,05/01/2015
0,Down,3.1,33.6,6:00,05/01/2015
1.2,Down,3.4,30.6,7:00,05/01/2015
1.2,Down,4.1,31.7,8:00,05/01/2015
1.2,Down,3.6,35.4,9:00,05/01/2015
1,Down,4.2,43.4,10:00,05/01/2015
0.5,Down,5.1,35,11:00,05/01/2015
0,Down,5.6,26.6,12:00,05/01/2015
0,Down,6,19.2,13:00,05/01/2015
0.1,Down,5.6,26.4,14:00,05/01/2015
0,Down,5.8,22.7,15:00,05/01/2015
